Net Id, Layer Id,Profile Layer Id,Layer Name,Layer Type,DLD DDR Read(byte),DSTR DDR Write(byte),WLD DDR Read(byte),Original Ops(Times),Core Ops(Times)
NetNnn0,Layer82,76,/head/encoder/layers.1/linear2/MatMul,MatMul,15360,15360,1,7864320,8388608
NetNnn0,Layer83,77,/head/encoder/layers.1/linear2/Add,BinaryMath,15360,0,0,0,0
NetNnn0,Layer84,77,/head/encoder/layers.1/Add_2,Eltwise,15360,0,0,0,0
NetNnn0,Layer85,77,/head/encoder/layers.1/norm2/LayerNormalization,LayerNorm,0,15360,0,0,0
NetNnn0,Layer86,78,/head/encoder/layers.2/self_attn/Transpose,Permute,15360,15360,0,0,0
NetNnn0,Layer87,79,/head/encoder/layers.2/self_attn/MatMul,MatMul,15360,46080,3600,23592960,188743680
NetNnn0,Layer88,80,/head/encoder/layers.2/self_attn/Add,BinaryMath,46080,46080,0,0,0
NetNnn0,Layer89,81,/head/encoder/layers.2/self_attn/Transpose_1_transpose_0_0,Permute,46080,46080,0,0,0
NetNnn0,Layer90,82,/head/encoder/layers.2/self_attn/Transpose_1_transpose_1_0,Permute,46080,46080,0,0,0
NetNnn0,Layer91,83,/head/encoder/layers.2/self_attn/Transpose_1_transpose_2_0,Permute,46080,46080,0,0,0
NetNnn0,Layer92,84,/head/encoder/layers.2/self_attn/Transpose_1_transpose_3_0,Permute,46080,46080,0,0,0
NetNnn0,Layer93,85,/head/encoder/layers.2/self_attn/Squeeze,Reshape,46080,46080,0,0,0
NetNnn0,Layer94,86,/head/encoder/layers.2/self_attn/Gather,Gather,46080,15360,0,0,0
NetNnn0,Layer95,87,/head/encoder/layers.2/self_attn/Reshape_3,Reshape,15360,0,0,0,0
NetNnn0,Layer96,88,/head/encoder/layers.2/self_attn/Transpose_2,Permute,0,0,0,0,0
NetNnn0,Layer97,89,/head/encoder/layers.2/self_attn/Reshape_6,Reshape,0,0,0,0,0
NetNnn0,Layer98,90,/head/encoder/layers.2/self_attn/Mul,BinaryMath,0,15360,0,0,0
NetNnn0,Layer99,91,/head/encoder/layers.2/self_attn/Gather_1,Gather,46080,15360,0,0,0
NetNnn0,Layer100,92,/head/encoder/layers.2/self_attn/Reshape_4,Reshape,15360,0,0,0,0
NetNnn0,Layer101,93,/head/encoder/layers.2/self_attn/Transpose_3,Permute,0,0,0,0,0
NetNnn0,Layer102,94,/head/encoder/layers.2/self_attn/Reshape_7,Reshape,0,0,0,0,0
NetNnn0,Layer103,95,/head/encoder/layers.2/self_attn/Transpose_5,Permute,0,0,0,0,0
NetNnn0,Layer104,96,/head/encoder/layers.2/self_attn/Mul_1,BinaryMath,0,0,0,0,0
NetNnn0,Layer105,97,/head/encoder/layers.2/self_attn/MatMul_1,MatMul,15360,30720,16,1843200,2097152
NetNnn0,Layer106,98,/head/encoder/layers.2/self_attn/Softmax,Softmax,30720,15360,0,0,0
NetNnn0,Layer107,99,/head/encoder/layers.2/self_attn/Gather_2,Gather,46080,15360,0,0,0
NetNnn0,Layer108,100,/head/encoder/layers.2/self_attn/Reshape_5,Reshape,15360,0,0,0,0
NetNnn0,Layer109,101,/head/encoder/layers.2/self_attn/Transpose_4,Permute,0,0,0,0,0
NetNnn0,Layer110,102,/head/encoder/layers.2/self_attn/Reshape_8,Reshape,0,15360,0,0,0
NetNnn0,Layer111,103,/head/encoder/layers.2/self_attn/MatMul_2,MatMul,30720,15360,16,1843200,2097152
NetNnn0,Layer112,104,/head/encoder/layers.2/self_attn/Transpose_6,Permute,15360,0,0,0,0
NetNnn0,Layer113,105,/head/encoder/layers.2/self_attn/Reshape_9,Reshape,0,0,0,0,0
NetNnn0,Layer114,106,/head/encoder/layers.2/self_attn/Reshape_9_output_0_nop_0_0,Nop,0,15360,0,0,0
NetNnn0,Layer115,107,/head/encoder/layers.2/self_attn/Gemm,Gemm,15360,15360,65536,7864320,8388608
NetNnn0,Layer116,108,/head/encoder/layers.2/self_attn/Transpose_7,Permute,15360,15360,0,0,0
NetNnn0,Layer117,109,/head/encoder/layers.2/Add,Eltwise,30720,0,0,0,0
NetNnn0,Layer118,109,/head/encoder/layers.2/norm1/LayerNormalization,LayerNorm,0,15360,0,0,0
NetNnn0,Layer119,110,/head/encoder/layers.2/linear1/MatMul,MatMul,15360,15360,1,7864320,8388608
NetNnn0,Layer120,111,/head/encoder/layers.2/linear1/Add,BinaryMath,15360,0,0,0,0
NetNnn0,Layer121,112,/head/encoder/layers.2/Mul_1,VectorCombine,0,15360,0,0,0
NetNnn0,Layer122,113,/head/encoder/layers.2/linear2/MatMul,MatMul,15360,15360,1,7864320,8388608
NetNnn0,Layer123,114,/head/encoder/layers.2/linear2/Add,BinaryMath,15360,0,0,0,0
NetNnn0,Layer124,114,/head/encoder/layers.2/Add_2,Eltwise,15360,0,0,0,0
NetNnn0,Layer125,114,/head/encoder/layers.2/norm2/LayerNormalization,LayerNorm,0,15360,0,0,0
NetNnn0,Layer126,115,/head/pool_score/pool_score.0/MatMul,MatMul,0,0,1,3932160,4194304
NetNnn0,Layer127,116,/head/pool_score/pool_score.0/Add,BinaryMath,0,0,0,0,0
NetNnn0,Layer128,117,/head/pool_score/pool_score.1/Tanh,VectorCombine,0,0,0,0,0
NetNnn0,Layer129,118,/head/pool_score/pool_score.2/MatMul,MatMul,0,0,1,15360,131072
NetNnn0,Layer130,119,/head/Squeeze,Reshape,0,0,0,0,0
NetNnn0,Layer131,120,/head/Softmax,Softmax,0,0,0,0,0
NetNnn0,Layer132,121,/head/Unsqueeze,Reshape,0,960,0,0,0
NetNnn0,Layer133,122,/head/Mul,Eltwise,16320,15360,0,0,0
NetNnn0,Layer134,123,/head/ReduceSum,Reduction,15360,0,0,0,0
NetNnn0,Layer135,124,/head/head/head.0/Gemm,Gemm,0,0,32768,65536,524288
NetNnn0,Layer136,125,/head/head/head.1/Mul_1,VectorCombine,0,0,0,0,0
NetNnn0,Layer137,126,/head/head/head.3/Gemm,Gemm,0,0,128,256,16384
NetNnn0,Layer138,127,/head/Squeeze_1,Reshape,0,0,0,0,0
NetNnn0,Layer139,128,/Sigmoid,VectorCombine,0,0,0,0,0
NetNnn0,Layer140,128,/Sigmoid_report_0_0,Reportop,0,16,0,0,0
